robot_id,action_x,action_y,a_inc_x,a_inc_y,cur_vel_x,cur_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,time_action,time_step
0.0,-0.8859363681784946,0.06795331765555354,-0.6100000143051147,0.23000000417232513,-0.28,-0.16,-1.5,-0.04,-3.11,0.7,7.54,5.19,-2.61,0.0018780231475830078,0.1
1.0,-0.27000001072883606,-0.550000011920929,-0.27000001072883606,-0.550000011920929,-0.0,-0.0,-1.2,-0.9,-2.5,0.7,7.33,6.83,-2.35,0.0013620853424072266,0.1
2.0,0.15767496261959602,-0.6568517282152236,0.5,-0.4699999988079071,-0.34,-0.19,-0.47,-1.42,-1.89,0.7,5.76,7.22,-2.64,0.0013272762298583984,0.1
3.0,-0.08392919075121956,-0.7258117467708478,-0.019999999552965164,-0.23999999463558197,-0.06,-0.49,0.49,-1.42,-1.24,0.7,4.1,7.44,-1.7,0.0013298988342285156,0.1
4.0,0.12556850283379897,-0.6299811162487174,0.12999999523162842,-0.10999999940395355,-0.0,-0.52,1.22,-0.87,-0.62,0.7,2.92,6.43,-1.58,0.0013275146484375,0.1
5.0,1.010258025083142,-0.6570478936795899,-0.07999999821186066,-0.36000001430511475,1.09,-0.3,1.5,0.07,0.04,0.7,2.86,4.73,-0.27,0.001291513442993164,0.1
6.0,0.9093028873705626,0.22678874244998123,0.5600000023841858,0.46000000834465027,0.35,-0.23,1.09,1.03,0.76,0.7,3.64,3.0,-0.59,0.0013270378112792969,0.1
7.0,0.20905004701730337,0.47442522873856685,-0.029999999329447746,-0.6299999952316284,0.24,1.1,0.31,1.47,1.36,0.7,5.06,3.24,1.36,0.0012810230255126953,0.1
8.0,-0.6792268726340106,1.4552797542343279,-0.6100000143051147,0.949999988079071,-0.07,0.51,-0.61,1.37,1.99,0.7,5.8,4.22,1.71,0.0013494491577148438,0.1
9.0,-0.9963962957493464,0.5017793995643818,-0.4399999976158142,-0.18000000715255737,-0.56,0.68,-1.33,0.68,2.67,0.7,5.85,5.25,2.26,0.001283884048461914,0.1
