robot_id,action_x,action_y,a_inc_x,a_inc_y,cur_vel_x,cur_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,time_action,time_step
0.0,1.0,0.6299999952316284,1.0,0.6299999952316284,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0022962093353271484,0.1
1.0,-0.9900000095367432,0.46000000834465027,-0.9900000095367432,0.46000000834465027,0.0,0.0,-0.5,0.0,3.14,0.4,8.0,0.0,0.0,0.004317522048950195,0.1
0.0,1.3502235273344805,-0.42251721863927016,0.8999999761581421,-0.6399999856948853,0.45,0.22,0.5,-0.0,-0.0,0.4,0.05,0.01,0.45,0.07589077949523926,0.1
1.0,-0.9700000286102295,0.30000001192092896,-0.9700000286102295,0.30000001192092896,0.0,0.0,-0.5,0.0,3.14,0.4,8.0,0.0,1.2,0.05315589904785156,0.1
0.0,1.2478595931063277,0.6460699526441305,0.9800000190734863,0.6800000071525574,0.27,-0.03,0.5,-0.0,-0.0,0.4,0.07,0.02,-0.13,0.0023169517517089844,0.1
1.0,-0.9523289733756509,0.11463000832170661,-0.9200000166893005,0.019999999552965164,-0.03,0.09,-0.5,-0.0,-3.14,0.4,8.0,0.01,1.9,0.007603645324707031,0.1
0.0,1.3287433651154796,-0.222985810041064,0.949999988079071,-0.3799999952316284,0.38,0.16,0.5,-0.0,-0.0,0.4,0.11,0.02,0.39,0.013161420822143555,0.1
1.0,-0.9105488955981096,-0.029223524101505305,-0.7099999785423279,-0.20999999344348907,-0.2,0.18,-0.5,-0.01,-3.14,0.4,7.99,0.03,2.41,0.0038175582885742188,0.1
0.0,1.3199678880680275,0.4550601474868079,0.9399999976158142,0.46000000834465027,0.38,-0.0,0.5,-0.01,-0.0,0.4,0.15,0.03,-0.01,0.03757619857788086,0.1
1.0,-0.8102441524457549,0.05592580817079246,-0.47999998927116394,-0.05999999865889549,-0.33,0.12,-0.5,-0.01,-3.14,0.4,7.96,0.05,2.8,0.09674763679504395,0.1
0.0,1.3380695328367178,-0.3360106266554095,0.8799999952316284,-0.5099999904632568,0.46,0.17,0.5,-0.01,-0.0,0.4,0.2,0.04,0.36,0.16181206703186035,0.1
1.0,-0.6676936024220419,0.08912754017570089,-0.1899999976158142,-0.019999999552965164,-0.48,0.11,-0.5,-0.01,-3.13,0.4,7.91,0.06,2.92,0.053030967712402344,0.1
0.0,1.2977281500792182,0.6101863434175906,0.949999988079071,0.6499999761581421,0.35,-0.04,0.5,-0.01,-0.01,0.4,0.23,0.04,-0.11,0.012247323989868164,0.1
1.0,-0.6471913089220485,0.09358172547074849,-0.15000000596046448,-0.019999999552965164,-0.5,0.11,-0.5,-0.01,-3.13,0.4,7.86,0.07,2.92,0.0010728836059570312,0.1
0.0,1.3285233332020268,-0.26850957835113176,0.9300000071525574,-0.4300000071525574,0.4,0.16,0.5,-0.01,-0.01,0.4,0.28,0.05,0.39,0.0016989707946777344,0.1
1.0,-0.6471913089220485,0.06358172427865559,-0.15000000596046448,-0.05000000074505806,-0.5,0.11,-0.5,-0.02,-3.13,0.4,7.81,0.09,2.92,0.01678633689880371,0.1
0.0,1.3094752356125143,0.5405694488467864,0.949999988079071,0.5600000023841858,0.36,-0.02,0.5,-0.01,-0.01,0.4,0.31,0.05,-0.05,0.04557609558105469,0.1
1.0,-0.6574424556720451,0.06135463163113179,-0.17000000178813934,-0.05000000074505806,-0.49,0.11,-0.5,-0.02,-3.13,0.4,7.76,0.1,2.92,0.010013818740844727,0.1
0.0,1.335595239514539,-0.3534871771184449,0.8999999761581421,-0.5299999713897705,0.44,0.18,0.5,-0.01,-0.01,0.4,0.36,0.06,0.39,0.00165557861328125,0.1
1.0,-0.6624852988382249,0.07636105735859991,-0.17000000178813934,-0.009999999776482582,-0.49,0.09,-0.5,-0.02,-3.13,0.4,7.71,0.11,2.97,0.0016148090362548828,0.1
0.0,1.2878202573660191,0.6221336190561347,0.9599999785423279,0.6600000262260437,0.33,-0.04,0.5,-0.01,-0.01,0.4,0.39,0.06,-0.11,0.002414703369140625,0.1
1.0,-0.6523350089515518,0.07808827850130157,-0.15000000596046448,-0.009999999776482582,-0.5,0.09,-0.5,-0.02,-3.13,0.4,7.66,0.12,2.97,0.0024902820587158203,0.1
0.0,1.3278741850270268,-0.2669167812195538,0.9300000071525574,-0.4300000071525574,0.4,0.16,0.5,-0.01,-0.01,0.4,0.43,0.07,0.39,0.14464378356933594,0.1
1.0,-0.6523350089515518,0.07808827850130157,-0.15000000596046448,-0.009999999776482582,-0.5,0.09,-0.5,-0.02,-3.13,0.4,7.61,0.12,2.97,0.11288166046142578,0.1
0.0,1.3095319095482882,0.5016479389515021,0.949999988079071,0.5199999809265137,0.36,-0.02,0.5,-0.02,-0.01,0.4,0.47,0.08,-0.05,0.02470111846923828,0.1
1.0,-0.6523350089515518,0.0580882789483364,-0.15000000596046448,-0.029999999329447746,-0.5,0.09,-0.5,-0.03,-3.12,0.4,7.56,0.13,2.97,0.013002157211303711,0.1
0.0,1.348532920552902,-0.370917495473144,0.9100000262260437,-0.5400000214576721,0.44,0.17,0.5,-0.02,-0.01,0.4,0.51,0.08,0.37,0.039362192153930664,0.1
1.0,-0.6624852988382249,0.056361057805634746,-0.17000000178813934,-0.029999999329447746,-0.49,0.09,-0.5,-0.03,-3.12,0.4,7.51,0.14,2.97,0.03543591499328613,0.1
0.0,1.2869974178398287,0.5755852021359467,0.9599999785423279,0.6200000047683716,0.33,-0.04,0.5,-0.02,-0.01,0.4,0.55,0.09,-0.13,0.0016765594482421875,0.1
1.0,-0.6624852988382249,0.056361057805634746,-0.17000000178813934,-0.029999999329447746,-0.49,0.09,-0.5,-0.03,-3.12,0.4,7.46,0.15,2.97,0.0015418529510498047,0.1
0.0,1.3330766635605469,-0.2820448291770195,0.9399999976158142,-0.4300000071525574,0.39,0.15,0.5,-0.02,-0.01,0.4,0.59,0.09,0.36,0.002435445785522461,0.1
1.0,-0.6624852988382249,0.056361057805634746,-0.17000000178813934,-0.029999999329447746,-0.49,0.09,-0.5,-0.03,-3.12,0.4,7.41,0.16,2.97,0.005447864532470703,0.1
0.0,1.308903674451435,0.5315381469077795,0.9399999976158142,0.5600000023841858,0.37,-0.03,0.5,-0.02,-0.01,0.4,0.62,0.1,-0.08,0.02224111557006836,0.1
1.0,-0.6624852988382249,0.056361057805634746,-0.17000000178813934,-0.029999999329447746,-0.49,0.09,-0.5,-0.03,-3.12,0.4,7.36,0.17,2.97,0.014942407608032227,0.1
0.0,1.339036733840528,-0.3640858263649307,0.9100000262260437,-0.5299999713897705,0.43,0.17,0.5,-0.02,-0.01,0.4,0.67,0.1,0.37,0.009273767471313477,0.1
1.0,-0.6524852934738069,0.026361058476187,-0.1599999964237213,-0.05999999865889549,-0.49,0.09,-0.5,-0.04,-3.12,0.4,7.31,0.18,2.97,0.002768278121948242,0.1
0.0,1.287131031942099,0.5659244058144185,0.949999988079071,0.6100000143051147,0.34,-0.04,0.5,-0.02,-0.01,0.4,0.7,0.11,-0.13,0.015658140182495117,0.1
1.0,-0.636777645011211,0.06667426209475438,-0.14000000059604645,0.009999999776482582,-0.5,0.06,-0.5,-0.04,-3.12,0.4,7.26,0.18,3.03,0.03550982475280762,0.1
0.0,1.3332244221755465,-0.2824379797550343,0.9399999976158142,-0.4300000071525574,0.39,0.15,0.5,-0.02,-0.02,0.4,0.74,0.11,0.36,0.06274271011352539,0.1
1.0,-0.636777645011211,0.0566742623182718,-0.14000000059604645,0.0,-0.5,0.06,-0.5,-0.04,-3.12,0.4,7.22,0.19,3.03,0.19427204132080078,0.1
0.0,1.3088750281488792,0.5311692575233543,0.9399999976158142,0.5600000023841858,0.37,-0.03,0.5,-0.02,-0.02,0.4,0.78,0.12,-0.08,0.04768729209899902,0.1
1.0,-0.636777645011211,0.0566742623182718,-0.14000000059604645,0.0,-0.5,0.06,-0.5,-0.04,-3.11,0.4,7.17,0.2,3.03,0.06955409049987793,0.1
0.0,1.3490367243037849,-0.4040858478226029,0.9200000166893005,-0.5699999928474426,0.43,0.17,0.5,-0.03,-0.02,0.4,0.82,0.12,0.37,0.006995439529418945,0.1
1.0,-0.636777645011211,0.0566742623182718,-0.14000000059604645,0.0,-0.5,0.06,-0.5,-0.04,-3.11,0.4,7.12,0.2,3.03,0.009317636489868164,0.1
0.0,1.2761636683900845,0.5705983729952057,0.9599999785423279,0.6200000047683716,0.32,-0.05,0.5,-0.03,-0.02,0.4,0.86,0.13,-0.15,0.018583059310913086,0.1
