policy_name: rl_rvo_10_dis3_episodes50_radius0.34  successful rate: 90.00% average EpLen: 101.87 std length 10.83 average speed: 0.91 std speed 0.07
policy_name: rl_rvo_10_dis3_episodes10_radius0.34  successful rate: 100.00% average EpLen: 94.0 std length 0.0 average speed: 0.96 std speed 0.0
policy_name: rl_rvo_10_dis3_episodes10_radius0.5  successful rate: 0.00% average EpLen: 0 std length 0 average speed: 0.85 std speed 0.0
policy_name: rl_rvo_10_dis3_episodes10_radius0.4  successful rate: 100.00% average EpLen: 99.0 std length 0.0 average speed: 0.92 std speed 0.0
policy_name: rl_rvo_10_dis3_episodes10_radius0.48  successful rate: 0.00% average EpLen: 0 std length 0 average speed: 0.86 std speed 0.0

policy_name: rl_rvo_10_dis3_episodes10_radius0.2  successful rate: 100.00% average EpLen: 83.2 std length 0.4 average speed: 1.07 std speed 0.01
policy_name: rl_rvo_10_dis3_episodes10_radius0.3  successful rate: 100.00% average EpLen: 83.2 std length 0.4 average speed: 1.07 std speed 0.01
policy_name: rl_rvo_10_dis3_episodes10_radius0.35  successful rate: 100.00% average EpLen: 95.0 std length 0.0 average speed: 0.95 std speed 0.0
policy_name: rl_rvo_10_dis3_episodes10_radius0.45  successful rate: 100.00% average EpLen: 95.0 std length 0.0 average speed: 0.95 std speed 0.0
policy_name: rl_rvo_10_dis3_episodes10_radius0.55  successful rate: 100.00% average EpLen: 95.0 std length 0.0 average speed: 0.95 std speed 0.0
policy_name: rl_rvo_10_dis3_episodes10_radius0.6  successful rate: 100.00% average EpLen: 83.1 std length 0.3 average speed: 1.07 std speed 0.0
policy_name: rl_rvo_10_dis3_episodes10_radius0.2  successful rate: 100.00% average EpLen: 83.1 std length 0.3 average speed: 1.07 std speed 0.0
policy_name: rl_rvo_10_dis3_episodes10_radius0.25  successful rate: 100.00% average EpLen: 83.1 std length 0.3 average speed: 1.07 std speed 0.0
policy_name: rl_rvo_10_dis3_episodes10_radius0.3  successful rate: 100.00% average EpLen: 83.4 std length 0.49 average speed: 1.06 std speed 0.01
policy_name: rl_rvo_10_dis3_episodes10_radius0.35  successful rate: 100.00% average EpLen: 83.2 std length 0.4 average speed: 1.07 std speed 0.01
policy_name: rl_rvo_10_dis3_episodes10_radius0.4  successful rate: 100.00% average EpLen: 83.3 std length 0.46 average speed: 1.06 std speed 0.01

policy_name: rl_rvo_10_dis3_episodes10_radius0.2  successful rate: 100.00% average EpLen: 83.1 std length 0.3 average speed: 1.07 std speed 0.0
policy_name: rl_rvo_10_dis3_episodes10_radius0.25  successful rate: 100.00% average EpLen: 83.2 std length 0.4 average speed: 1.07 std speed 0.01
policy_name: rl_rvo_10_dis3_episodes10_radius0.3  successful rate: 100.00% average EpLen: 83.2 std length 0.4 average speed: 1.07 std speed 0.01
